"","Year","Owner type","Owners","Units","Indexed unit count","Indexed owner count"
"1",2015,"Large property manager",333,57307,100,100
"2",2015,"Midsized property manager",3093,63270,100,100
"3",2015,"Mom-and-pop",24768,35063,100,100
"4",2015,"Small property manager",1360,4259,100,100
"5",2016,"Large property manager",315,61146,106.699007102099,94.5945945945946
"6",2016,"Midsized property manager",3117,68301,107.951635846373,100.775945683802
"7",2016,"Mom-and-pop",24575,34480,98.3372786127827,99.2207687338501
"8",2016,"Small property manager",1425,4550,106.832589809815,104.779411764706
"9",2017,"Large property manager",325,66393,115.85495663706,97.5975975975976
"10",2017,"Midsized property manager",3115,70657,111.675359570096,100.711283543485
"11",2017,"Mom-and-pop",24634,34359,97.992185494681,99.4589793281654
"12",2017,"Small property manager",1615,5000,117.398450340456,118.75
"13",2018,"Large property manager",337,69292,120.91367546722,101.201201201201
"14",2018,"Midsized property manager",3123,70347,111.185395922238,100.969932104753
"15",2018,"Mom-and-pop",24616,34288,97.7896928386048,99.3863049095607
"16",2018,"Small property manager",1661,5153,120.990842920873,122.132352941176
"17",2019,"Large property manager",337,74758,130.451777269793,101.201201201201
"18",2019,"Midsized property manager",3123,75166,118.801959854591,100.969932104753
"19",2019,"Mom-and-pop",24552,33958,96.8485297892365,99.1279069767442
"20",2019,"Small property manager",1842,5563,130.617515848791,135.441176470588
"21",2020,"Large property manager",336,73548,128.340342366552,100.900900900901
"22",2020,"Midsized property manager",3127,77223,122.053105737316,101.099256385386
"23",2020,"Mom-and-pop",24524,33816,96.4435444770841,99.0148578811369
"24",2020,"Small property manager",1918,5806,136.323080535337,141.029411764706
"25",2021,"Large property manager",344,77945,136.013052506675,103.303303303303
"26",2021,"Midsized property manager",3120,76298,120.591117433223,100.872938894277
"27",2021,"Mom-and-pop",24618,33909,96.7087813364515,99.3943798449613
"28",2021,"Small property manager",2035,5984,140.502465367457,149.632352941176
